DomainLabel,VarName,REGION,_REGION,activity,_activity,RENELC,_RENELC,DiffEst,StdErr,DF,tValue,Probt
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Education,Yes,No,-0.998429,1.432830,197,-0.70,0.4867
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Office,Yes,Yes,-3.465649,1.470185,197,-2.36,0.0194
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Office,Yes,No,-5.178216,1.409134,197,-3.67,0.0003
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Service,Yes,Yes,-2.197148,3.680207,197,-0.60,0.5512
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Service,Yes,No,-2.700118,1.549504,197,-1.74,0.0830
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Shopping,Yes,Yes,-8.997403,1.746789,197,-5.15,<.0001
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Shopping,Yes,No,-6.717978,1.718395,197,-3.91,0.0001
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Warehouse,Yes,Yes,0.881708,2.318384,197,0.38,0.7041
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Warehouse,Yes,No,1.743631,1.088235,197,1.60,0.1107
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Education,Yes,Yes,-5.067270,3.243889,197,-1.56,0.1199
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Education,Yes,No,-3.697091,1.266168,197,-2.92,0.0039
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Office,Yes,Yes,-4.481560,1.854931,197,-2.42,0.0166
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Office,Yes,No,-6.195525,1.378189,197,-4.50,<.0001
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Service,Yes,Yes,-2.887634,2.587571,197,-1.12,0.2658
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Service,Yes,No,-2.248493,1.322766,197,-1.70,0.0907
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Shopping,Yes,Yes,-9.647528,5.349983,197,-1.80,0.0729
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Shopping,Yes,No,-9.018826,1.494542,197,-6.03,<.0001
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Warehouse,Yes,Yes,-2.465757,3.159519,197,-0.78,0.4361
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Warehouse,Yes,No,2.062697,0.941829,197,2.19,0.0297
REGION*activity*RENELC,bleu,Northeast,South,Education,Education,Yes,Yes,-9.277966,5.099683,197,-1.82,0.0704
REGION*activity*RENELC,bleu,Northeast,South,Education,Education,Yes,No,-8.221161,1.299736,197,-6.33,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Education,Office,Yes,Yes,-5.949393,1.523535,197,-3.90,0.0001
REGION*activity*RENELC,bleu,Northeast,South,Education,Office,Yes,No,-8.502282,1.170473,197,-7.26,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Education,Service,Yes,Yes,-2.814479,1.943896,197,-1.45,0.1492
REGION*activity*RENELC,bleu,Northeast,South,Education,Service,Yes,No,-5.372096,1.527993,197,-3.52,0.0005
REGION*activity*RENELC,bleu,Northeast,South,Education,Shopping,Yes,Yes,-15.555533,4.869978,197,-3.19,0.0016
REGION*activity*RENELC,bleu,Northeast,South,Education,Shopping,Yes,No,-11.049477,1.308204,197,-8.45,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Education,Warehouse,Yes,Yes,-4.486918,2.076044,197,-2.16,0.0319
REGION*activity*RENELC,bleu,Northeast,South,Education,Warehouse,Yes,No,-1.735982,1.774849,197,-0.98,0.3292
REGION*activity*RENELC,bleu,Northeast,West,Education,Education,Yes,Yes,-6.885969,6.071621,197,-1.13,0.2581
REGION*activity*RENELC,bleu,Northeast,West,Education,Education,Yes,No,-2.882171,1.151353,197,-2.50,0.0131
REGION*activity*RENELC,bleu,Northeast,West,Education,Office,Yes,Yes,-3.878254,1.138144,197,-3.41,0.0008
REGION*activity*RENELC,bleu,Northeast,West,Education,Office,Yes,No,-7.933781,1.533310,197,-5.17,<.0001
REGION*activity*RENELC,bleu,Northeast,West,Education,Service,Yes,Yes,-0.777268,2.625520,197,-0.30,0.7675
REGION*activity*RENELC,bleu,Northeast,West,Education,Service,Yes,No,-3.337072,1.686919,197,-1.98,0.0493
REGION*activity*RENELC,bleu,Northeast,West,Education,Shopping,Yes,Yes,-5.160294,3.529131,197,-1.46,0.1453
REGION*activity*RENELC,bleu,Northeast,West,Education,Shopping,Yes,No,-10.382878,2.000568,197,-5.19,<.0001
REGION*activity*RENELC,bleu,Northeast,West,Education,Warehouse,Yes,Yes,1.634089,1.425687,197,1.15,0.2531
REGION*activity*RENELC,bleu,Northeast,West,Education,Warehouse,Yes,No,0.890833,1.006945,197,0.88,0.3774
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Office,No,Yes,-2.467220,1.789588,197,-1.38,0.1696
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Office,No,No,-4.179787,0.737126,197,-5.67,<.0001
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Service,No,Yes,-1.198719,3.388585,197,-0.35,0.7239
